year,mileage,tax,mpg,engineSize,price
2016,29600,20,67.3,2.0,15995
2016,26500,125,58.9,2.0,10995
2017,14000,200,44.8,2.0,19995
2013,34783,30,61.4,1.6,8295
2015,56655,20,67.3,1.6,7995
2019,16000,150,47.9,2.0,19995
2015,30753,0,78.5,1.5,9995
2018,1030,145,47.9,1.0,13495
2017,7817,145,55.4,1.0,12995
2018,9781,145,60.1,1.0,12995
2018,17241,145,54.3,1.0,12998
2015,28309,125,58.9,1.6,10298
2017,50599,0,65.7,1.0,10498
2018,37880,150,74.3,1.5,11298
2016,56888,125,60.1,2.0,10698
2018,10500,145,60.1,1.0,15995
2014,50800,160,44.1,1.6,6995
2019,6700,145,58.9,1.0,13950
2017,31800,150,65.7,1.0,10650
2016,20700,125,54.3,1.2,7995
2016,29900,0,74.3,1.5,11495
2018,32858,145,54.3,2.0,16995
2018,31593,145,65.7,1.0,11995
2015,13791,125,51.4,1.5,10995
2019,12034,145,47.9,2.0,20495
2018,10923,145,67.3,2.0,19995
2019,10171,145,38.2,2.0,19995
2016,30923,0,74.3,1.5,10995
2019,2291,145,52.3,1.0,18995
2017,23469,125,51.4,1.5,11995
2017,13626,125,60.1,2.0,16998
2016,35180,125,54.3,1.2,7398
2019,17708,145,58.9,1.0,11498
2019,9957,145,58.9,1.0,13998
2019,4542,145,60.1,1.0,16698
2016,38358,0,78.5,1.5,9998
2015,25878,20,67.3,2.0,12998
2016,18325,160,44.8,1.5,9998
2017,9338,145,60.1,1.0,12498
2018,7133,145,58.9,1.5,14998
2017,42002,20,60.1,1.0,10498
2017,3700,145,38.2,1.5,16995
2019,5600,145,60.1,1.0,15495
2015,17288,0,65.7,1.0,9495
2013,42996,20,70.6,1.6,5995
2014,47566,30,56.5,1.0,7498
2017,4262,0,65.7,1.0,11798
2017,10125,145,65.7,1.0,10998
2017,17028,150,46.3,1.5,14998
2017,12753,145,54.3,1.2,8998
2016,24895,20,67.3,2.0,13998
2017,9066,145,41.5,2.0,17998
2019,3292,145,40.3,1.5,18998
2013,48130,200,45.6,2.0,9198
2015,27513,145,54.3,2.0,14498
2017,32511,150,41.5,2.0,14998
2016,21888,125,54.3,1.2,8498
2019,11130,145,58.9,1.0,13995
2017,14441,145,41.5,2.0,18498
2018,13401,145,60.1,1.0,13998
2019,10567,145,58.9,1.0,12798
2019,7872,145,58.9,1.0,14698
2017,10641,30,57.7,1.2,7698
2018,10222,145,54.3,1.0,12498
2017,28519,20,62.8,1.0,9998
2017,51772,125,60.1,2.0,13998
2016,7350,0,57.7,1.0,9500
2018,12231,145,47.9,1.2,8195
2019,5354,150,31.0,1.5,21498
2017,19525,145,41.5,2.0,17998
2018,11922,145,54.3,1.0,14498
2016,16984,20,68.9,1.5,9998
2016,16070,125,54.3,1.2,7998
2018,26648,145,61.4,1.0,10998
2017,19140,145,62.8,1.0,10998
2016,26399,0,74.3,1.5,9998
2013,53545,30,54.3,1.2,5498
2017,25491,0,65.7,1.0,9298
2014,31359,0,65.7,1.0,7298
2016,51656,0,74.3,1.5,8498
2016,11221,145,54.3,2.0,17698
2017,23356,145,60.1,2.0,14498
2018,15267,145,53.3,1.0,12898
2017,41294,0,74.4,1.5,7998
2018,7993,145,49.6,1.0,12198
2017,30207,145,53.3,1.0,9698
2016,19815,0,65.7,1.0,8798
2015,43717,145,54.3,2.0,14298
2018,4534,145,58.9,1.0,15798
2017,9148,145,65.7,1.0,10298
2014,22609,30,57.7,1.2,4898
2016,15510,0,74.3,1.5,10298
2017,20347,0,65.7,1.0,9998
2018,3044,145,39.2,1.5,16698
2017,5233,125,54.3,1.2,8998
2015,28359,125,60.1,1.6,8998
2017,12244,125,51.4,1.0,12498
2018,17918,145,65.7,1.0,12498
2020,4623,145,43.5,2.0,34498
2017,16770,145,44.8,1.5,9298
2017,25459,145,60.1,1.0,10900
2017,23913,125,53.3,1.0,9998
2018,9901,150,65.7,1.0,12998
2016,15006,125,51.4,1.0,10998
2017,19593,145,41.5,2.0,15500
2017,23027,145,58.9,1.5,16200
2016,13580,20,64.2,1.5,10500
2015,32000,20,67.3,2.0,13200
2019,15365,145,60.1,1.0,18698
2019,7924,145,80.7,1.5,16998
2017,10721,145,65.7,1.0,9998
2017,25939,145,53.3,1.0,9498
2019,3265,145,58.9,1.0,17498
2019,11045,145,41.5,1.0,15998
2020,250,145,51.4,1.0,17998
2013,44901,145,47.1,1.4,5698
2017,22001,20,60.1,1.0,9998
2020,4563,145,54.3,1.0,17298
2019,12236,145,55.4,1.0,16998
2019,7584,145,39.2,2.0,23998
2013,41599,0,65.7,1.0,6498
2017,10373,145,54.3,1.0,12498
2013,79300,0,65.7,1.0,4998
2017,12982,30,55.4,1.0,11498
2017,24386,0,74.3,1.5,11298
2017,18209,30,64.2,1.5,9298
2018,9796,145,54.3,1.0,12998
2018,9428,145,62.8,1.0,14498
2016,30528,125,56.5,2.0,18498
2016,41772,30,55.4,1.0,8498
2015,15673,0,65.7,1.0,8298
2015,47219,0,74.3,1.5,8498
2018,16081,150,57.7,1.0,12998
2019,10476,145,60.1,1.0,16998
2016,16647,0,65.7,1.0,9998
2017,41457,150,54.3,2.0,13698
2017,4735,125,51.4,1.0,13998
2016,24045,125,53.3,1.0,9498
2019,6500,145,51.4,1.0,15984
2017,60190,160,44.8,1.5,8489
2017,27000,0,78.5,1.5,9995
2017,32538,0,65.7,1.0,8498
2016,36345,150,54.3,2.0,13498
2016,43623,20,61.4,1.0,8998
2013,58500,200,45.6,2.0,9998
2017,15729,145,54.3,2.0,17498
2018,7892,145,65.7,1.0,9998
2017,24725,145,47.9,1.6,11990
2019,7000,145,80.7,1.5,16899
2019,3500,145,51.4,1.0,15984
2019,4500,145,51.4,1.0,15984
2019,4000,145,51.4,1.0,15984
2019,4889,145,68.9,1.5,13998
2017,20633,150,54.3,2.0,17994
2016,47937,165,51.4,2.0,17489
2018,28500,145,54.3,2.0,19899
2014,85000,30,54.3,1.2,4699
2017,23000,125,53.3,1.0,9949
2017,9995,145,55.4,1.0,11498
2017,12626,30,55.4,1.0,10898
2018,7320,145,55.4,1.0,12998
2019,23394,145,48.7,1.0,13498
2017,12932,20,68.9,1.5,9998
2019,22246,150,64.2,2.0,18998
2019,5530,150,48.7,1.1,11798
2019,4590,150,48.7,1.1,11798
2017,28479,0,65.7,1.0,8498
2013,67895,200,47.9,2.0,8998
2019,6249,145,60.1,1.0,14799
2019,8560,145,60.1,1.0,14799
2020,3500,145,22.1,5.0,42489
2017,9940,145,45.6,1.5,17498
2019,4930,145,60.1,1.0,16498
2018,12011,145,41.5,2.0,19698
2016,23053,125,54.3,1.2,8498
2016,17589,200,41.5,2.0,16998
2019,7000,145,58.9,1.0,14998
2019,3500,145,61.4,1.5,19999
2019,5500,145,47.9,2.0,20999
2019,7000,145,60.1,1.0,14998
2019,7000,145,58.9,1.0,14998
2019,5000,145,68.9,1.5,13998
2017,33026,145,60.1,2.0,13898
2016,8560,0,65.7,1.0,11498
2018,16548,145,41.5,2.0,19698
2017,49485,0,74.3,1.5,10498
2017,14569,145,53.3,2.0,17498
2015,60151,145,54.3,2.0,12498
2017,9148,145,61.4,1.0,11498
2017,13548,0,65.7,1.0,10998
2019,7337,140,47.1,2.0,22998
2015,6649,125,54.3,1.2,8498
2017,7690,150,60.1,1.0,11998
2019,3396,150,48.7,1.1,11898
2019,15766,145,58.9,1.0,11498
2019,7349,145,58.9,1.0,13298
2016,36860,20,68.9,1.5,9698
2018,59498,145,68.9,1.5,10498
2015,17367,125,60.1,2.0,10998
2017,14403,145,64.2,1.1,9598
2019,20647,145,60.1,1.0,16998
2019,13351,145,58.9,1.0,13498
2016,34804,125,54.3,1.2,6998
2017,38113,125,60.1,2.0,15498
2018,27399,145,64.2,1.1,9949
2018,2455,145,68.9,1.5,12998
2016,52000,200,47.9,2.0,20799
2020,3500,145,30.7,2.3,38489
2018,35417,145,64.2,1.1,9489
2019,11982,145,48.7,1.0,13949
2018,28138,145,56.5,1.0,10990
2017,34805,145,54.3,2.0,13489
2015,64612,20,67.3,1.6,7994
2018,19665,145,60.1,1.0,11489
2018,17500,150,64.2,1.5,15699
2020,4000,145,74.3,1.5,19998
2020,5000,145,74.3,1.5,19489
2019,7000,145,58.9,1.0,14998
2016,26445,30,64.2,1.5,9199
2017,26445,20,68.9,1.5,10489
2018,2922,145,64.2,1.5,11489
2018,3000,145,28.8,2.3,29998
2018,6250,145,23.5,5.0,31498
2018,6691,145,61.4,1.0,11999
2018,9486,145,56.6,1.5,15990
2019,8703,145,40.9,1.5,16998
2019,5636,145,68.9,1.5,15489
2019,8224,145,56.5,2.0,22489
2019,4000,145,56.5,2.0,22489
2015,55898,0,78.5,1.5,5998
2017,28001,145,60.1,1.0,10998
2014,36052,160,47.9,2.0,11498
2016,42086,570,23.5,5.0,24999
2017,34673,125,60.1,2.0,15298
2018,22068,145,48.7,2.0,19498
2019,19936,145,60.1,1.0,16998
2017,4856,145,61.4,1.5,13998
2017,1397,165,44.1,1.6,11298
2017,21649,145,46.3,1.5,13398
2017,10345,145,41.5,2.0,17798
2018,14960,145,64.2,1.5,14998
2015,35689,205,41.5,2.0,13998
2017,31998,145,44.8,1.5,9189
2018,7200,145,65.7,1.0,10399
2017,27146,145,47.9,2.0,23899
2013,66937,30,54.3,1.2,5330
2019,5099,145,51.4,1.0,15985
2015,11092,125,54.3,1.2,7485
2019,6000,145,29.1,1.5,21999
2017,23634,150,65.7,1.0,10850
2019,9931,145,38.7,2.0,23250
2016,22633,0,65.7,1.0,7999
2018,9355,145,57.7,1.2,7999
2013,78170,200,47.9,2.0,7999
2016,13480,20,60.1,1.0,9699
2019,5000,145,22.6,5.0,39998
2017,15060,125,54.3,1.2,8500
2016,18912,0,65.7,1.0,9998
2019,6992,145,60.1,1.0,15995
2017,17766,145,65.7,1.0,11495
2019,8725,145,58.9,1.0,14698
2016,6820,0,65.7,1.0,9998
2013,29326,200,47.9,2.0,9498
2017,11235,0,57.7,1.0,10698
2016,38687,145,54.3,2.0,13499
2017,15005,145,54.3,2.0,15999
2017,14224,145,54.3,2.0,17299
2019,20205,150,58.9,1.0,14198
2016,13093,125,52.3,1.0,10898
2019,1434,150,48.7,1.0,17298
2013,44582,165,44.1,1.6,5998
2015,55621,30,64.2,2.0,9998
2017,21203,30,57.7,1.2,6998
2017,24498,145,67.3,2.0,16698
2018,3124,145,60.1,1.0,17298
2017,31073,125,60.1,2.0,15498
2017,6345,145,54.3,2.0,14298
2016,26138,20,68.9,1.5,9998
2019,593,145,47.9,2.0,22998
2018,11654,145,61.4,1.0,11598
2018,17532,145,65.7,1.0,10498
2017,36124,160,44.8,1.5,8698
2017,13558,200,41.5,2.0,17498
2018,13000,145,67.3,1.5,12499
2018,7812,145,47.9,1.2,9250
2017,28113,145,67.3,2.0,16250
2017,24130,150,52.3,1.0,9999
2017,23973,150,60.1,1.0,10999
2019,11858,145,38.2,2.0,18494
2019,26799,145,48.7,1.0,13489
2014,35084,0,65.7,1.0,6995
2018,12080,150,65.7,1.0,11995
2017,9621,145,65.7,1.0,10498
2017,13300,145,60.1,1.0,11300
2018,14024,145,62.8,1.0,11800
2017,17668,145,60.1,1.0,10800
2016,43121,0,65.7,1.0,8300
2018,14682,145,41.5,2.0,18499
2014,53500,30,56.5,1.0,6800
2018,15513,145,45.6,1.5,17000
2017,16701,0,78.5,1.5,8998
2014,51892,30,54.3,1.2,5698
2017,20648,160,44.8,1.5,8998
2016,38206,145,54.3,2.0,14998
2017,13692,145,54.3,2.0,18500
2019,12287,145,39.2,1.5,19298
2014,49989,160,47.9,2.0,10798
2019,12699,145,60.1,1.0,15998
2015,36700,0,65.7,1.0,7298
2017,25013,150,53.3,1.0,10298
2017,16505,0,65.7,1.0,10698
2019,5887,145,58.9,1.0,13998
2013,63508,145,53.3,2.0,8298
2016,36087,0,74.3,1.5,8998
2016,11117,30,55.4,1.0,11298
2016,17197,30,64.2,1.5,10498
2013,54000,145,53.3,2.0,8995
2015,27541,0,65.7,1.0,7895
2018,14682,145,41.5,2.0,18390
2018,9662,145,57.7,1.2,7795
2017,22727,20,60.1,1.0,10795
2019,6269,145,74.3,1.5,18298
2015,9708,20,70.6,1.6,7698
2017,18075,145,54.3,2.0,17698
2017,24885,145,54.3,2.0,16998
2018,3074,145,55.4,1.0,12698
2016,22141,0,78.5,1.5,10698
2013,43938,205,45.6,2.0,9998
2017,6038,150,54.3,2.0,14498
2017,20277,0,65.7,1.0,8998
2017,15297,20,68.9,1.5,11998
2019,11426,150,58.9,1.0,14000
2019,2951,150,52.3,1.0,16250
2017,28186,0,65.7,1.0,9700
2013,38629,200,42.8,1.6,9998
2017,14161,30,64.2,1.5,10998
2016,27716,125,56.5,2.0,15498
2013,41144,20,68.9,1.5,5489
2019,9695,145,54.3,1.5,18999
2016,79125,145,47.9,1.6,8449
2016,46040,30,61.4,1.6,8699
2017,37972,20,68.9,1.5,10489
2017,36394,145,64.2,1.5,12489
2017,78636,145,64.2,1.5,13698
2018,21167,145,67.3,2.0,18498
2015,36140,0,74.4,1.5,7298
2017,13861,145,60.1,1.0,9998
2017,22439,145,54.3,2.0,17498
2017,42500,125,51.4,2.0,18999
2017,29500,145,52.3,1.0,9489
2017,41000,145,48.7,2.0,20994
2018,6484,145,68.9,1.5,11998
2014,39223,30,54.3,1.2,6250
2014,64327,0,76.4,1.5,5950
2017,13338,0,74.3,1.5,10900
2017,15121,20,58.9,1.0,11200
2017,38541,20,60.1,1.0,9250
2018,9542,145,65.7,1.0,10300
2019,3629,145,49.6,1.0,13000
2016,82616,0,74.3,1.5,7000
2015,21261,0,65.7,1.0,9200
2019,10023,150,54.3,2.0,24995
2016,22919,0,65.7,1.0,8298
2017,41697,20,68.9,1.5,9298
2019,18697,145,60.1,1.0,16698
2019,5003,145,70.6,2.0,23698
2019,6233,145,74.3,1.5,20398
2016,19884,0,65.7,1.0,9698
2018,13734,145,39.2,1.5,17998
2019,12232,145,58.9,1.0,13698
2016,21243,20,60.1,1.0,9998
2016,31107,125,54.3,1.2,7298
2013,64292,20,67.3,1.6,5698
2014,68055,150,53.3,2.0,8998
2018,23200,150,65.7,1.0,12998
2016,25800,30,64.2,2.0,12498
2019,5100,145,31.7,2.0,20990
2019,100,145,30.1,2.0,29999
2019,5636,145,68.9,1.5,15489
2019,4500,145,80.7,1.5,15998
2019,3500,145,61.4,1.5,19999
2016,61379,0,74.3,1.5,8489
2018,3012,145,55.4,1.1,9490
2017,11292,125,51.4,1.5,12490
2017,19285,150,57.7,1.2,6490
2016,33352,205,41.5,2.0,14790
2017,17998,0,74.3,1.5,12498
2018,11578,150,67.3,2.0,18998
2015,29577,20,67.3,1.6,9598
2017,27704,145,74.3,1.5,10498
2015,19001,125,54.3,1.2,7998
2016,39460,30,64.2,1.5,9998
2019,13325,145,74.3,1.5,16250
2019,14464,145,54.3,1.5,18450
2018,19223,145,61.4,1.0,9950
2019,906,145,43.5,1.2,9950
2019,2520,145,43.5,1.2,9950
2019,1196,145,43.5,1.2,9950
2015,19429,0,65.7,1.0,8498
2014,69078,30,57.7,1.0,5998
2017,37560,145,53.3,1.0,9998
2016,3155,20,61.4,1.0,9998
2019,14206,150,60.1,1.0,16998
2017,30393,145,61.4,2.0,16998
2014,41711,145,53.3,2.0,11198
2019,14316,150,80.7,1.5,14498
2016,21456,125,54.3,1.2,7998
2016,20682,0,65.7,1.0,9998
2019,12027,145,74.3,1.5,17998
2014,36727,20,70.6,1.6,6498
2019,8757,145,28.8,1.5,19998
2016,28670,30,64.2,1.5,8698
2017,21041,0,78.5,1.5,10698
2018,4223,145,54.3,1.0,13698
2019,9007,145,58.9,1.0,13498
2016,11457,125,54.3,1.2,8498
2014,39944,30,54.3,1.2,6298
2019,3578,150,48.7,1.1,11698
2017,21167,150,54.3,2.0,13998
2016,31976,145,47.9,1.6,8498
2018,10149,145,57.7,1.0,13998
2016,50364,125,56.5,2.0,14498
2018,16678,145,58.9,1.0,11950
2019,1394,145,55.4,1.1,11395
2018,9486,145,56.6,1.5,15990
2018,28138,145,56.5,1.0,10990
2019,10351,145,54.3,1.5,18489
2017,29500,145,52.3,1.0,9489
2017,4162,0,78.5,1.5,9795
2017,23237,125,60.1,2.0,15995
2019,7959,145,38.2,2.0,18495
2018,10553,145,74.3,1.5,11995
2018,23112,145,65.7,1.0,9998
2019,7953,145,60.1,1.0,14998
2015,14422,125,54.3,1.2,8000
2017,21183,145,61.4,2.0,18498
2016,21446,125,54.3,1.2,7998
2019,7941,145,58.9,1.0,12498
2016,45256,20,60.1,1.0,8498
2013,54545,0,65.7,1.0,5298
2017,28761,20,60.1,1.0,9998
2014,31343,30,55.4,1.0,7498
2017,24896,125,60.1,2.0,15998
2017,45854,150,41.5,2.0,16998
2017,18775,125,54.3,1.2,8698
2019,10386,145,49.6,1.0,15998
2017,20507,125,54.3,1.2,8998
2017,32384,125,51.4,1.0,9998
2019,10786,145,55.4,1.1,10698
2020,1196,150,38.2,2.0,20450
2017,39254,150,68.9,1.5,11495
2017,30157,20,68.9,1.5,9750
2019,11859,145,54.3,1.5,18495
2019,9693,145,57.7,1.5,14950
2018,11723,145,64.2,1.5,17295
2019,11027,145,74.3,1.5,16250
2015,28322,30,57.7,1.2,4998
2017,23833,0,65.7,1.0,8698
2017,13775,145,65.7,1.0,11298
2017,14050,145,60.1,1.0,10898
2014,34088,160,47.9,2.0,11698
2014,52565,30,55.4,1.0,5998
2017,16517,145,47.9,1.6,9998
2019,4605,145,61.4,1.5,19998
2019,12078,145,58.9,1.0,14998
2014,45460,125,60.1,1.6,6998
2016,24963,160,44.8,1.5,10498
2015,51103,240,39.2,2.0,12298
2015,63863,145,54.3,2.0,9498
2016,55145,145,52.3,2.0,11990
2017,28842,0,65.7,1.0,7490
2019,11060,145,58.9,1.0,13698
2017,39539,20,60.1,1.0,10498
2017,3652,165,44.8,1.5,10798
2017,29667,125,60.1,2.0,15998
2016,49080,0,74.3,1.5,8998
2015,61787,125,60.1,2.0,9298
2017,29886,30,64.2,1.5,10698
2017,31098,150,54.3,2.0,17498
2017,15860,150,54.3,2.0,13998
2019,8263,145,60.1,1.0,14998
2015,13118,0,65.7,1.0,8298
2016,19256,0,65.7,1.0,9698
2017,11085,125,54.3,1.2,7798
2018,10150,145,58.9,1.0,13498
2016,46176,0,74.3,1.5,9690
2017,18506,20,67.3,2.0,16498
2017,11476,145,65.7,1.0,11495
2015,29681,160,44.8,1.5,8000
2015,51581,125,57.7,2.0,11400
2017,32994,145,64.2,1.1,8250
2019,12320,145,58.9,1.0,10998
2018,3956,145,53.3,1.0,12998
2014,39002,0,65.7,1.0,6698
2018,10087,145,64.2,1.5,15998
2014,21284,30,54.3,1.2,6498
2017,17307,145,74.3,1.5,12998
2017,10222,145,41.5,2.0,18998
2015,10801,125,54.3,1.2,8498
2015,42477,30,54.3,1.2,6998
2013,64718,205,45.6,2.0,9498
2019,3484,150,48.7,1.1,11698
2019,2958,145,70.6,2.0,19300
2017,23365,145,41.5,2.0,16890
2016,34214,0,74.3,1.5,9420
2019,5341,145,60.1,1.0,15390
2019,6736,145,60.1,1.0,15370
2015,27412,0,74.3,1.5,9230
2017,11203,145,57.7,1.2,6990
2017,45400,20,67.3,2.0,15591
2018,16156,145,54.3,1.0,12891
2017,8337,145,54.3,1.0,10447
2014,71854,145,53.3,2.0,8998
2013,37058,30,55.4,1.0,5998
2017,28497,145,74.3,1.5,11998
2014,30658,30,57.7,1.2,4298
2015,36462,20,60.1,1.0,7498
2013,22125,150,47.9,1.6,7998
2016,18154,20,60.1,1.0,9498
2017,23270,145,54.3,2.0,19498
2015,34332,145,54.3,2.0,13698
2015,44123,145,52.3,2.0,11498
2017,29326,200,47.9,2.0,20498
2018,13737,145,64.2,1.5,16998
2015,32492,0,74.3,1.5,8998
2018,16312,145,67.3,2.0,18998
2019,14698,145,58.9,1.0,13898
2019,20388,145,58.9,1.0,13498
2017,8966,145,65.7,1.0,11998
2015,56282,20,67.3,1.6,8298
2017,12124,30,64.2,1.5,11698
2019,8389,145,60.1,1.0,14998
2019,11022,145,51.4,1.0,17498
2019,7359,145,74.3,1.5,17498
2019,8657,145,74.3,1.5,16998
2017,19534,20,68.9,1.5,10498
2018,921,145,49.6,1.0,15698
2015,48938,0,78.5,1.5,6998
2017,7431,125,60.1,2.0,15498
2015,31974,20,61.4,1.0,8498
2015,17786,160,44.8,1.5,7998
2014,52627,30,54.3,1.2,4698
2019,10970,145,58.9,1.0,11998
2013,32347,200,47.9,2.0,10998
2016,51324,0,74.3,1.5,8998
2017,6213,125,54.3,1.2,9298
2016,27639,30,55.4,1.0,10998
2013,64628,30,54.3,1.2,5298
2016,16501,20,67.3,2.0,14498
2015,37313,0,65.7,1.0,6798
2014,33154,30,54.3,1.2,6998
2017,13163,145,55.4,1.0,9798
2017,17593,125,52.3,1.0,9798
2015,13391,20,61.4,1.0,9698
2017,31877,20,68.9,1.5,9498
2019,13783,145,58.9,1.0,11798
2019,18115,145,58.9,1.0,11698
2017,34980,30,55.4,1.0,9998
2015,30149,0,74.3,1.5,9698
2017,9484,0,74.3,1.5,12698
2017,18250,20,68.9,1.5,10498
2014,15412,0,65.7,1.0,7798
2019,4797,145,64.2,2.0,19798
2019,2451,145,64.2,2.0,19998
2017,23224,145,58.9,1.5,16498
2019,6879,145,51.4,2.0,19998
2014,45543,145,53.3,2.0,9298
2019,2840,145,74.3,1.5,18298
2018,10970,145,58.9,1.0,10998
2017,8913,145,54.3,1.0,13498
2017,14876,125,51.4,1.0,12698
2019,3002,145,60.1,1.0,14998
2018,5757,145,41.5,2.0,20998
2016,12163,125,54.3,1.2,8998
2019,5721,145,60.1,1.0,14998
2016,27193,0,74.3,1.5,9998
2018,11460,145,54.3,1.5,15998
2016,66732,125,57.7,2.0,11298
2017,16290,20,67.3,2.0,15998
2016,32263,200,41.5,2.0,14498
2018,16353,145,65.7,1.0,10998
2019,11738,145,64.2,2.0,18998
2015,23764,125,54.3,1.2,7498
2016,41484,20,67.3,2.0,12998
2017,20241,145,65.7,1.0,10798
2013,45880,30,57.7,1.2,4198
2019,6092,145,49.6,1.0,16998
2017,11913,145,41.5,2.0,18998
2018,19382,145,41.5,2.0,19498
2017,10500,0,65.7,1.0,11698
2015,24717,20,60.1,1.0,9498
2019,6158,150,48.7,1.1,11498
2017,2360,150,65.7,1.0,10998
2019,19322,150,60.1,1.0,16998
2016,18480,150,54.3,2.0,16998
2014,52681,145,53.3,2.0,9298
2014,29095,30,54.3,1.2,6998
2016,7906,0,74.3,1.5,12698
2015,22420,0,74.3,1.5,9498
2015,18733,0,74.3,1.5,9798
2017,23358,20,62.8,1.0,11298
2016,34769,125,53.3,1.0,8998
2017,16300,160,45.6,1.5,12998
